Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,192100,198900,164200,244300,206200,164200
Feb 2005,101.2,101.3,101.7,100.8,101.7,100.9,194500,201400,167000,246200,209700,165700
Mar 2005,102.4,102.6,103.2,101.9,102.8,101.4,196800,204000,169500,248900,212000,166500
Apr 2005,103.2,103.4,104.2,102.4,103.2,102.3,198300,205600,171100,250100,212800,168000
May 2005,103.7,104,104.9,102.7,103.8,102.7,199300,206800,172300,250900,214000,168600
Jun 2005,103.8,104.1,105.3,102.6,103.9,102.8,199400,207000,172900,250600,214200,168800
Jul 2005,104.1,104.3,105.7,102.5,104.2,103.2,200000,207400,173600,250400,214800,169500
Aug 2005,104.5,104.8,106.2,103.1,104.3,103.3,200800,208400,174400,251800,215000,169600
Sep 2005,105.3,105.7,107.3,103.7,103.7,103.9,202300,210200,176200,253300,213800,170600
Oct 2005,106,106.3,108,104.1,106.2,104.9,203700,211400,177400,254300,219000,172300
Nov 2005,106.3,106.7,108.6,104.3,104.6,105,204300,212200,178400,254800,215700,172400
Dec 2005,106.3,106.9,108.9,104.4,105.7,104.3,204300,212600,178900,255000,217900,171300
Jan 2006,107.2,107.9,109.9,105.3,106.5,104.8,206000,214600,180500,257200,219600,172100
Feb 2006,108.2,108.9,111,106.3,109,105.6,207900,216500,182300,259600,224700,173400
Mar 2006,108.8,109.5,111.7,106.8,109.3,106.6,209100,217700,183500,260900,225400,175000
Apr 2006,109.4,110,112.2,107.2,109.3,107.2,210200,218700,184300,261800,225400,176000
May 2006,110,110.6,112.9,107.7,108.5,108,211400,219900,185400,263100,223700,177300
Jun 2006,110.7,111.4,113.5,108.8,110.6,108.4,212700,221500,186400,265800,228000,178000
Jul 2006,111.1,111.9,114.4,108.8,111.3,108.5,213500,222500,187900,265800,229500,178200
Aug 2006,111.5,112.1,114.7,109,111.5,109.1,214200,222900,188400,266200,229900,179200
Sep 2006,111.7,112.5,115,109.3,109.6,109.3,214600,223700,188900,267000,226000,179500
Oct 2006,112.5,113.4,115.8,110.6,110.5,109.7,216200,225500,190200,270200,227800,180100
Nov 2006,113,114.1,116.4,111.3,112.9,109.2,217100,226900,191200,271900,232800,179300
Dec 2006,113.4,114.8,117.6,111.2,113.2,108.7,217900,228300,193200,271600,233400,178500
Jan 2007,113.9,115.2,118.1,111.7,114,109.6,218900,229100,194000,272800,235000,180000
Feb 2007,114.7,115.9,118.8,112.3,116,110.8,220400,230500,195100,274300,239200,181900
Mar 2007,115.5,116.5,119.3,113.2,116.8,112.1,221900,231700,195900,276500,240800,184100
Apr 2007,116.2,117.2,120.1,113.7,117.5,112.8,223300,233100,197300,277700,242300,185200
May 2007,117,118,120.9,114.5,117.9,113.6,224800,234600,198600,279700,243100,186500
Jun 2007,117.7,118.9,121.9,115.1,118.5,113.9,226200,236400,200200,281100,244300,187000
Jul 2007,118.8,120.2,123.4,116.3,119.1,114.6,228300,239000,202700,284100,245600,188200
Aug 2007,119.3,120.7,124.3,116.4,119.8,114.8,229200,240000,204200,284300,247000,188500
Sep 2007,119.6,120.8,124.2,116.8,120.2,115.6,229800,240200,204000,285300,247800,189800
Oct 2007,120,121.3,124.4,117.5,120.3,116,230600,241200,204300,287000,248000,190500
Nov 2007,120.5,121.9,125.1,118,120.8,116.3,231500,242400,205500,288200,249100,191000
Dec 2007,120.6,122.1,125.2,118.4,123,116.1,231700,242800,205600,289200,253600,190600
Jan 2008,121.3,122.9,126.1,119.1,124,116.3,233100,244400,207100,290900,255700,191000
Feb 2008,122.7,124.5,127.6,120.8,123.3,117.6,235800,247600,209600,295100,254200,193100
Mar 2008,123.6,125.5,128.7,121.8,123.4,118.1,237500,249600,211400,297500,254400,193900
Apr 2008,124.3,126.2,129.2,122.6,123.8,119,238800,250900,212200,299500,255200,195400
May 2008,125.1,126.7,129.8,123.1,124.9,120.5,240400,251900,213200,300700,257500,197900
Jun 2008,125.8,127.3,130.4,123.6,126.4,121.6,241700,253100,214200,301900,260600,199700
Jul 2008,126.7,128,131.1,124.4,128.9,123,243500,254500,215300,303900,265800,202000
Aug 2008,127.6,129.1,132.1,125.5,127.5,123.3,245200,256700,217000,306500,262900,202500
Sep 2008,128,129.6,132.3,126.4,127.8,123.7,245900,257700,217300,308700,263500,203100
Oct 2008,128.2,130,133.1,126.5,128.2,123.3,246300,258500,218600,309000,264300,202500
Nov 2008,128.2,129.9,133.3,126,128.8,123.4,246300,258300,218900,307800,265600,202600
Dec 2008,128.1,129.6,133.2,125.5,129.3,123.8,246100,257700,218800,306500,266600,203300
Jan 2009,128.1,129.5,132.7,125.7,129.6,124.3,246100,257500,218000,307000,267200,204100
Feb 2009,128.1,129.5,132.7,125.8,128,124.3,246100,257500,218000,307300,263900,204100
Mar 2009,128.1,129.4,132.6,125.7,127.6,124.7,246100,257300,217800,307000,263100,204800
Apr 2009,128.3,129.5,132.7,125.7,128.4,125.1,246500,257500,218000,307000,264700,205400
May 2009,128.7,129.7,132.8,126.2,128.9,125.9,247300,257900,218100,308300,265800,206700
Jun 2009,129.2,130.1,132.8,127,132.8,126.4,248300,258700,218100,310200,273800,207600
Jul 2009,129.8,130.8,133.7,127.4,132.3,127.1,249400,260100,219600,311200,272800,208700
Aug 2009,130.4,131.5,134.4,128.2,132.2,127.5,250600,261500,220700,313100,272600,209400
Sep 2009,131.1,132.3,135.6,128.5,130.4,127.9,251900,263100,222700,313900,268900,210000
Oct 2009,131.9,133.2,136.5,129.2,131.2,128.8,253400,264900,224200,315600,270500,211500
Nov 2009,132.7,133.9,137,130.4,130.4,129.6,255000,266300,225000,318500,268900,212800
Dec 2009,133,134.2,136.8,131.1,132.2,130.1,255600,266900,224700,320200,272600,213600
Jan 2010,134.2,135.5,138.2,132.4,134.1,131,257900,269400,227000,323400,276500,215100
